"V1","V2"
"6.289","2275-Cuitlahuac"
"0.165","403-Cyane"
"0.071","65-Cybele"
"8.120","1419-Danzig"
"0.083","41-Daphne"
"3.359","1270-Datura"
"0.076","2725-David"
"0.054","511-Davida"
"5.803","5332-Davidaguilar"
"0.116","1618-Dawn"
"0.056","1244-Deira"
"15.82","157-Dejanira"
"0.190","184-Dejopeja"
"0.384","349-Dembowska"
"0.159","1339-Desagneauxa"
"0.065","3247-Di"
"0.063","99-Dike"
"0.051","423-Diotima"
"0.106","1805-Dirikis"
"4.812","1789-Dobrovolsky"
"0.161","382-Dodona"
"0.062","48-Doris"
"5.487","620-Drakonia"
"0.226","263-Dresda"
"0.237","1621-Druzhba"
"0.142","400-Ducrosa"
"13.85","13059-Ducuroir"
"0.048","564-Dudu"
"0.043","1241-Dysona"
"4.856","7318-Dyukov"
"6.072","3170-Dzhanibekov"
"0.254","60-Echo"
"375.0","1750-Eckert"
"0.147","413-Edburga"
"0.129","742-Edisona"
"0.212","340-Eduarda"
"0.640","3103-Eger"
"0.083","13-Egeria"
NA,"11148-Einhardress"
"5.487","2001-Einstein"
"0.046","694-Ekard"
"0.075","130-Elektra"
"0.195","354-Eleonora"
"0.044","567-Eleutheria"
"0.083","435-Ella"
"0.287","616-Elly"
"0.208","182-Elsa"
"0.277","277-Elvira"
"0.026","283-Emma"
"4.392","802-Epyaxa"
"0.061","62-Erato"
"12.06","4954-Eric"
"0.040","718-Erida"
"0.055","163-Erigone"
"0.051","636-Erika"
"0.052","406-Erna"
"0.127","698-Ernestina"
"0.250","433-Eros-"
"2.795","9542-Eryan"
"9.89","889-Erynia"
"47.50","622-Esther"
"9.85","1432-Ethiopia"
"0.059","1119-Euboea"
"0.040","45-Eugenia"
"0.059","247-Eukrate"
"0.057","495-Eulalia"
"0.084","2002-Euler"
"0.209","15-Eunomia"
"0.054","31-Euphrosyne"
"0.058","52-Europa"
"0.262","79-Eurynome"
"0.162","27-Euterpe"
"0.045","164-Eva"
NA,"12979-Evgalvasil'ev"
"0.060","3478-Fanale"
"0.081","4554-Fanynka"
"0.064","72-Feronia"
"0.183","37-Fides"
"0.046","1021-Flammario"
"0.243","8-Flora"
"0.230","321-Florentina"
"0.037","19-Fortuna"
"2.978","1925-Franklin-Adams"
"0.123","520-Franziska"
"0.036","76-Freia"
"0.060","1561-Fricke"
"7.007","6410-Fujiwara"
"22.76","8043-Fukuhara"
"0.235","355-Gabriella"
"66.00","1665-Gaby"
"10.96","1772-Gagarin"
"6.328","1835-Gajdariya"
"4.912","4089-Galbraith"
"0.236","427-Galene"
"9.80","11958-Galiani"
"7.360","4080-Galinskij"
"4.431","6719-Gallaj"
"0.293","1036-Ganymed"
"23.87","180-Garumna"
"7.042","951-Gaspra--"
"0.326","1620-Geographos-"
"0.232","376-Geometria"
"0.188","122-Gerda"
"0.142","686-Gersuind"
"3.082","1382-Gerti"
"40.72","1672-Gezelle"
"0.426","352-Gisela"
"0.122","1687-Glarona"
"0.232","857-Glasenappia"
"8.453","7043-Godart"
"0.151","6489-Golevka"
"6.461","681-Gorgo"
"0.240","1188-Gothlandia"
"0.424","984-Gretia"
"26.37","4995-Griffin"
"16.48","6136-Gryphon"
"0.043","2483-Guinevere"
"4.850","682-Hagar"
"0.240","1098-Hakone"
"0.288","518-Halawe"
"0.248","480-Hansa"
"0.077","578-Happelia"
"0.242","40-Harmonia"
"0.268","6-Hebe"
"19.90","1251-Hedera"
"0.025","624-Hektor"
"3.396","699-Hela"
"0.122","1075-Helina"
"0.120","1495-Helsinki"
"0.183","103-Hera"
"0.169","532-Herculina"
"0.281","685-Hermia"
"0.048","121-Hermione"
NA,"2630-Hermod"
"0.144","135-Hertha"
"0.140","69-Hesperia"
NA,"3746-Heyuan"
"0.060","944-Hidalgo"
"0.090","996-Hilaritas"
"24.86","898-Hildegard"
"0.036","928-Hildrun"
"0.178","692-Hippodamia"
"8.052","10064-Hirosetamotsu"
"0.172","706-Hirundo"
NA,"14203-Hocking"
"0.213","872-Holda"
"6.543","3573-Holmberg"
"0.297","378-Holmia"
"0.067","1985-Hopmann"
"0.051","260-Huberta"
NA,"5723-Hudson"
NA,"4877-Humboldt"
"0.428","434-Hungaria"
"4.780","1840-Hus"
"0.072","10-Hygiea"
"0.047","98-Ianthe"
"0.238","243-Ida--"
"0.083","176-Iduna"
NA,"4037-Ikeya"
"0.043","249-Ilse"
"0.157","979-Ilsewa"
"0.077","1320-Impala"
"0.198","389-Industria"
"26.39","391-Ingeborg"
"0.067","85-Io"
"0.275","509-Iolanda"
"0.039","112-Iphigenia"
"0.159","14-Irene"
"0.277","7-Iris"
"0.044","210-Isabella"
"0.257","364-Isara"
"6.715","9971-Ishihara"
"0.171","42-Isis"
"0.189","183-Istria"
"0.079","1735-ITA"
"0.222","918-Itha"
"12.13","25143-Itokawa--"
"4.620","497-Iva"
NA,"8573-Ivanka"
"0.150","1627-Ivar"
"7.350","1546-Izsak"
"0.057","1942-Jablunka"
"2.839","5111-Jacliff"
"0.054","1017-Jacqueline"
NA,"5625-Jamesferguson"
"9.434","3301-Jansje"
"97.40","1110-Jaroslawa"
"8.020","6262-Javid"
"0.086","1281-Jeanne"
"0.088","526-Jena"
